gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
1,2,5,1,1,72,72,74
1,3,3,1,2,69,90,88
1,2,6,1,1,90,95,93
2,1,4,2,1,47,57,44
2,3,3,1,1,76,78,75
1,2,4,1,1,71,83,78
1,2,3,1,2,88,95,92
2,2,3,2,1,40,43,39
2,4,2,2,2,64,64,67
1,2,2,2,1,38,60,50
2,3,4,1,1,58,54,52
2,4,4,1,1,40,52,43
1,2,2,1,1,65,81,73
2,1,3,1,2,78,72,70
1,1,6,1,1,50,53,58
1,3,1,1,1,69,75,78
2,3,2,1,1,88,89,86
1,2,1,2,1,18,32,28
2,3,6,2,2,46,42,46
1,3,4,2,1,54,58,61
2,4,2,1,1,66,69,63
1,2,3,2,2,65,75,70
2,4,3,1,1,44,54,53
1,3,1,1,1,69,73,73
2,4,5,2,2,74,71,80
2,1,6,2,1,73,74,72
2,2,3,1,1,69,54,55
1,3,5,1,1,67,69,75
2,3,2,1,1,70,70,65
1,4,6,1,1,62,70,75
1,4,3,1,1,69,74,74
1,2,3,1,1,63,65,61
1,5,6,2,1,56,72,65
2,4,3,1,1,40,42,38
2,5,3,1,1,97,87,82
2,5,4,1,2,81,81,79
1,4,4,1,1,74,81,83
1,4,1,2,1,50,64,59
1,4,4,2,2,75,90,88
2,2,4,2,1,57,56,57
2,3,4,2,1,55,61,54
1,3,4,1,1,58,73,68
1,2,4,1,1,53,58,65
2,2,3,2,2,59,65,66
1,5,4,2,1,50,56,54
2,2,4,1,1,65,54,57
1,1,4,1,2,55,65,62
1,3,2,1,1,66,71,76
1,4,4,2,2,57,74,76
2,3,2,1,2,82,84,82
2,5,3,1,1,53,55,48
2,5,4,2,2,77,69,68
2,3,3,1,1,53,44,42
2,4,2,1,1,88,78,75
1,3,1,2,2,71,84,87
1,3,2,2,1,33,41,43
1,5,4,1,2,82,85,86
2,4,4,1,1,52,55,49
2,4,3,1,2,58,59,58
1,3,1,2,1,0,17,10
2,5,5,2,2,79,74,72
